Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 3,Kroger Food 4 Less CA,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.132 cs,,,$ 1.50,$ 2.376,$ 12.00,$ 2,$ 1,33.33%,,$ 1.624,$ 8.65,$ 1,$ 0.4818,30.42%,,$ 1.142,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 1,$ 1,$ 0,39.65%
Price 4,Kroger Food 4 Less CA,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,1 cs/store,"1,320 cs",,,$ 1.33,"$ 21,067",$ 11.25,"$ 14,850","$ 6,217",29.51%,,"$ 15,708",$ 8.65,"$ 11,418","$ 4,290",28.89%,,"$ 11,418",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 10,560","$ 6,494","$ 4,066",35.61%
Price 5,Kroger Food 4 Less CA,SI Caff 12/16oz Loose,,4/$5,,,16 wks,2 cs/store,"3,520 cs",,,$ 1.25,"$ 52,800",$ 10.80,"$ 38,016","$ 14,784",28.00%,,"$ 40,902",$ 8.65,"$ 30,448","$ 10,454",27.50%,,"$ 30,448",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 27,562","$ 17,318","$ 10,243",33.64%
Price 1,Kroger Food 4 Less IL,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Food 4 Less IL,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,0.04 cs/store,5.28 cs,,,$ 1.67,$ 105.8,$ 12.25,$ 65,$ 41,38.87%,,$ 65.21,$ 8.65,$ 46,$ 19.54,30.20%,,$ 45.67,,,,$ 0.50,$ 0.1,$ 0,$ 0.10,$ 45,$ 26,$ 19,41.97%
Price 3,Kroger Food 4 Less IL,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.0132 cs,,,$ 1.50,$ 0.2376,$ 12.00,$ 0,$ 0,33.33%,,$ 0.1624,$ 8.65,$ 0,$ 0.04818,30.42%,,$ 0.1142,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,39.65%
Price 4,Kroger Food 4 Less IL,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,1 cs/store,132 cs,,,$ 1.33,"$ 2,107",$ 11.25,"$ 1,485",$ 622,29.51%,,"$ 1,571",$ 8.65,"$ 1,142",$ 429,28.89%,,"$ 1,142",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 1,056",$ 649,$ 407,35.61%
Price 5,Kroger Food 4 Less IL,SI Caff 12/16oz Loose,,4/$5,,,16 wks,1.6 cs/store,281.6 cs,,,$ 1.25,"$ 4,224",$ 10.80,"$ 3,041","$ 1,183",28.00%,,"$ 3,272",$ 8.65,"$ 2,436",$ 836.4,27.50%,,"$ 2,436",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 2,205","$ 1,385",$ 819,33.64%
Price 1,Kroger Fred Meyer,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Fred Meyer,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,15 cs/store,"23,940 cs",,,$ 1.67,"$ 479,758",$ 12.25,"$ 293,265","$ 186,493",38.87%,,"$ 295,659",$ 8.65,"$ 207,081","$ 88,578",30.20%,,"$ 207,081",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 204,687","$ 117,785","$ 86,902",41.97%
Price 3,Kroger Fred Meyer,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0 cs/store,0 cs,,,$ 1.50,$ 0,$ 12.00,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,0%
Price 4,Kroger Fred Meyer,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,16 cs/store,"25,536 cs",,,$ 1.33,"$ 407,555",$ 11.25,"$ 287,280","$ 120,275",29.51%,,"$ 303,878",$ 8.65,"$ 220,886","$ 82,992",28.89%,,"$ 220,886",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 204,288","$ 125,637","$ 78,651",35.61%
Price 5,Kroger Fred Meyer,SI Caff 12/16oz Loose,,4/$5,,,16 wks,17 cs/store,"36,176 cs",,,$ 1.25,"$ 542,640",$ 10.80,"$ 390,701","$ 151,939",28.00%,,"$ 420,365",$ 8.65,"$ 312,922","$ 107,443",27.50%,,"$ 312,922",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 283,258","$ 177,986","$ 105,272",33.64%
Price 1,Kroger Fry's,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Fry's,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,6 cs/store,"9,360 cs",,,$ 1.67,"$ 187,574",$ 12.25,"$ 114,660","$ 72,914",38.87%,,"$ 115,596",$ 8.65,"$ 80,964","$ 34,632",30.20%,,"$ 80,964",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 80,028","$ 46,051","$ 33,977",41.97%
Price 3,Kroger Fry's,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.156 cs,,,$ 1.50,$ 2.808,$ 12.00,$ 2,$ 1,33.33%,,$ 1.919,$ 8.65,$ 1,$ 0.5694,30.42%,,$ 1.349,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 1,$ 1,$ 1,39.65%
Price 4,Kroger Fry's,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,7 cs/store,"10,920 cs",,,$ 1.33,"$ 174,283",$ 11.25,"$ 122,850","$ 51,433",29.51%,,"$ 129,948",$ 8.65,"$ 94,458","$ 35,490",28.89%,,"$ 94,458",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 87,360","$ 53,726","$ 33,634",35.61%
Price 5,Kroger Fry's,SI Caff 12/16oz Loose,,4/$5,,,16 wks,9 cs/store,"18,720 cs",,,$ 1.25,"$ 280,800",$ 10.80,"$ 202,176","$ 78,624",28.00%,,"$ 217,526",$ 8.65,"$ 161,928","$ 55,598",27.50%,,"$ 161,928",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 146,578","$ 92,102","$ 54,475",33.64%
Price 1,Kroger Houston,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Houston,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,3.6 cs/store,"4,579 cs",,,$ 1.67,"$ 91,767",$ 12.25,"$ 56,095","$ 35,672",38.87%,,"$ 56,553",$ 8.65,"$ 39,610","$ 16,943",30.20%,,"$ 39,610",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 39,152","$ 22,530","$ 16,622",41.97%
Price 3,Kroger Houston,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.1272 cs,,,$ 1.50,$ 2.29,$ 12.00,$ 2,$ 1,33.33%,,$ 1.565,$ 8.65,$ 1,$ 0.4643,30.42%,,$ 1.1,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 1,$ 1,$ 0,39.65%
Price 4,Kroger Houston,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,3.5 cs/store,"4,452 cs",,,$ 1.33,"$ 71,054",$ 11.25,"$ 50,085","$ 20,969",29.51%,,"$ 52,979",$ 8.65,"$ 38,510","$ 14,469",28.89%,,"$ 38,510",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 35,616","$ 21,904","$ 13,712",35.61%
Price 5,Kroger Houston,SI Caff 12/16oz Loose,,4/$5,,,16 wks,4 cs/store,"6,784 cs",,,$ 1.25,"$ 101,760",$ 10.80,"$ 73,267","$ 28,493",28.00%,,"$ 78,830",$ 8.65,"$ 58,682","$ 20,148",27.50%,,"$ 58,682",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 53,119","$ 33,377","$ 19,741",33.64%
Price 1,Kroger King Soopers,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger King Soopers,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,4.9 cs/store,"9,173 cs",,,$ 1.67,"$ 183,823",$ 12.25,"$ 112,367","$ 71,456",38.87%,,"$ 113,284",$ 8.65,"$ 79,345","$ 33,939",30.20%,,"$ 79,345",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 78,427","$ 45,130","$ 33,297",41.97%
Price 3,Kroger King Soopers,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.00001 cs/store,0.01872 cs,,,$ 1.50,$ 0.337,$ 12.00,$ 0,$ 0,33.33%,,$ 0.2303,$ 8.65,$ 0,$ 0.06833,30.42%,,$ 0.1619,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,39.65%
Price 4,Kroger King Soopers,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,5 cs/store,"9,360 cs",,,$ 1.33,"$ 149,386",$ 11.25,"$ 105,300","$ 44,086",29.51%,,"$ 111,384",$ 8.65,"$ 80,964","$ 30,420",28.89%,,"$ 80,964",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 74,880","$ 46,051","$ 28,829",35.61%
Price 5,Kroger King Soopers,SI Caff 12/16oz Loose,,4/$5,,,16 wks,6 cs/store,"14,976 cs",,,$ 1.25,"$ 224,640",$ 10.80,"$ 161,741","$ 62,899",28.00%,,"$ 174,021",$ 8.65,"$ 129,542","$ 44,479",27.50%,,"$ 129,542",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 117,262","$ 73,682","$ 43,580",33.64%
Price 1,Kroger Louisville,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Louisville,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,3 cs/store,"4,248 cs",,,$ 1.67,"$ 85,130",$ 12.25,"$ 52,038","$ 33,092",38.87%,,"$ 52,463",$ 8.65,"$ 36,745","$ 15,718",30.20%,,"$ 36,745",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 36,320","$ 20,900","$ 15,420",41.97%
Price 3,Kroger Louisville,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.1416 cs,,,$ 1.50,$ 2.549,$ 12.00,$ 2,$ 1,33.33%,,$ 1.742,$ 8.65,$ 1,$ 0.5168,30.42%,,$ 1.225,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 1,$ 1,$ 0,39.65%
Price 4,Kroger Louisville,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,2 cs/store,"2,832 cs",,,$ 1.33,"$ 45,199",$ 11.25,"$ 31,860","$ 13,339",29.51%,,"$ 33,701",$ 8.65,"$ 24,497","$ 9,204",28.89%,,"$ 24,497",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 22,656","$ 13,933","$ 8,723",35.61%
Price 5,Kroger Louisville,SI Caff 12/16oz Loose,,4/$5,,,16 wks,4 cs/store,"7,552 cs",,,$ 1.25,"$ 113,280",$ 10.80,"$ 81,562","$ 31,718",28.00%,,"$ 87,754",$ 8.65,"$ 65,325","$ 22,429",27.50%,,"$ 65,325",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 59,132","$ 37,156","$ 21,976",33.64%
Price 1,Kroger Michigan,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Michigan,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,5 cs/store,"7,500 cs",,,$ 1.67,"$ 150,300",$ 12.25,"$ 91,875","$ 58,425",38.87%,,"$ 92,625",$ 8.65,"$ 64,875","$ 27,750",30.20%,,"$ 64,875",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 64,125","$ 36,900","$ 27,225",41.97%
Price 3,Kroger Michigan,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.15 cs,,,$ 1.50,$ 2.7,$ 12.00,$ 2,$ 1,33.33%,,$ 1.845,$ 8.65,$ 1,$ 0.5475,30.42%,,$ 1.298,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 1,$ 1,$ 1,39.65%
Price 4,Kroger Michigan,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,5 cs/store,"7,500 cs",,,$ 1.33,"$ 119,700",$ 11.25,"$ 84,375","$ 35,325",29.51%,,"$ 89,250",$ 8.65,"$ 64,875","$ 24,375",28.89%,,"$ 64,875",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 60,000","$ 36,900","$ 23,100",35.61%
Price 5,Kroger Michigan,SI Caff 12/16oz Loose,,4/$5,,,16 wks,7 cs/store,"14,000 cs",,,$ 1.25,"$ 210,000",$ 10.80,"$ 151,200","$ 58,800",28.00%,,"$ 162,680",$ 8.65,"$ 121,100","$ 41,580",27.50%,,"$ 121,100",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 109,620","$ 68,880","$ 40,740",33.64%
Price 1,Kroger Mid Atlantic,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Mid Atlantic,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,3.2 cs/store,"4,570 cs",,,$ 1.67,"$ 91,575",$ 12.25,"$ 55,978","$ 35,597",38.87%,,"$ 56,435",$ 8.65,"$ 39,527","$ 16,908",30.20%,,"$ 39,527",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 39,070","$ 22,482","$ 16,588",41.97%
Price 3,Kroger Mid Atlantic,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.1428 cs,,,$ 1.50,$ 2.57,$ 12.00,$ 2,$ 1,33.33%,,$ 1.756,$ 8.65,$ 1,$ 0.5212,30.42%,,$ 1.235,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 1,$ 1,$ 0,39.65%
Price 4,Kroger Mid Atlantic,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,4 cs/store,"5,712 cs",,,$ 1.33,"$ 91,164",$ 11.25,"$ 64,260","$ 26,904",29.51%,,"$ 67,973",$ 8.65,"$ 49,409","$ 18,564",28.89%,,"$ 49,409",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 45,696","$ 28,103","$ 17,593",35.61%
Price 5,Kroger Mid Atlantic,SI Caff 12/16oz Loose,,4/$5,,,16 wks,4.5 cs/store,"8,568 cs",,,$ 1.25,"$ 128,520",$ 10.80,"$ 92,534","$ 35,986",28.00%,,"$ 99,560",$ 8.65,"$ 74,113","$ 25,447",27.50%,,"$ 74,113",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 67,087","$ 42,155","$ 24,933",33.64%
Price 1,Kroger Nashville,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Nashville,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,4 cs/store,"4,320 cs",,,$ 1.67,"$ 86,573",$ 12.25,"$ 52,920","$ 33,653",38.87%,,"$ 53,352",$ 8.65,"$ 37,368","$ 15,984",30.20%,,"$ 37,368",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 36,936","$ 21,254","$ 15,682",41.97%
Price 3,Kroger Nashville,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.108 cs,,,$ 1.50,$ 1.944,$ 12.00,$ 1,$ 1,33.33%,,$ 1.328,$ 8.65,$ 1,$ 0.3942,30.42%,,$ 0.9342,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 1,$ 1,$ 0,39.65%
Price 4,Kroger Nashville,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,5.5 cs/store,"5,940 cs",,,$ 1.33,"$ 94,802",$ 11.25,"$ 66,825","$ 27,977",29.51%,,"$ 70,686",$ 8.65,"$ 51,381","$ 19,305",28.89%,,"$ 51,381",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 47,520","$ 29,225","$ 18,295",35.61%
Price 5,Kroger Nashville,SI Caff 12/16oz Loose,,4/$5,,,16 wks,6.2 cs/store,"8,928 cs",,,$ 1.25,"$ 133,920",$ 10.80,"$ 96,422","$ 37,498",28.00%,,"$ 103,743",$ 8.65,"$ 77,227","$ 26,516",27.50%,,"$ 77,227",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 69,906","$ 43,926","$ 25,980",33.64%
Price 1,Kroger QFC,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger QFC,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,2.9 cs/store,"2,018 cs",,,$ 1.67,"$ 40,449",$ 12.25,"$ 24,725","$ 15,723",38.87%,,"$ 24,927",$ 8.65,"$ 17,459","$ 7,468",30.20%,,"$ 17,459",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 17,257","$ 9,931","$ 7,327",41.97%
Price 3,Kroger QFC,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.001 cs/store,0.696 cs,,,$ 1.50,$ 12.53,$ 12.00,$ 8,$ 4,33.33%,,$ 8.561,$ 8.65,$ 6,$ 2.54,30.42%,,$ 6.02,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 6,$ 3,$ 2,39.65%
Price 4,Kroger QFC,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,4 cs/store,"2,784 cs",,,$ 1.33,"$ 44,433",$ 11.25,"$ 31,320","$ 13,113",29.51%,,"$ 33,130",$ 8.65,"$ 24,082","$ 9,048",28.89%,,"$ 24,082",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 22,272","$ 13,697","$ 8,575",35.61%
Price 5,Kroger QFC,SI Caff 12/16oz Loose,,4/$5,,,16 wks,5 cs/store,"4,640 cs",,,$ 1.25,"$ 69,600",$ 10.80,"$ 50,112","$ 19,488",28.00%,,"$ 53,917",$ 8.65,"$ 40,136","$ 13,781",27.50%,,"$ 40,136",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 36,331","$ 22,829","$ 13,502",33.64%
Price 1,Kroger Ralphs,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Ralphs,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,2.2 cs/store,"4,858 cs",,,$ 1.67,"$ 97,346",$ 12.25,"$ 59,506","$ 37,841",38.87%,,"$ 59,991",$ 8.65,"$ 42,018","$ 17,973",30.20%,,"$ 42,018",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 41,532","$ 23,899","$ 17,633",41.97%
Price 3,Kroger Ralphs,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.2208 cs,,,$ 1.50,$ 3.974,$ 12.00,$ 3,$ 1,33.33%,,$ 2.716,$ 8.65,$ 2,$ 0.8059,30.42%,,$ 1.91,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 2,$ 1,$ 1,39.65%
Price 4,Kroger Ralphs,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,3 cs/store,"6,624 cs",,,$ 1.33,"$ 105,719",$ 11.25,"$ 74,520","$ 31,199",29.51%,,"$ 78,826",$ 8.65,"$ 57,298","$ 21,528",28.89%,,"$ 57,298",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 52,992","$ 32,590","$ 20,402",35.61%
Price 5,Kroger Ralphs,SI Caff 12/16oz Loose,,4/$5,,,16 wks,3.8 cs/store,"11,187 cs",,,$ 1.25,"$ 167,808",$ 10.80,"$ 120,822","$ 46,986",28.00%,,"$ 129,995",$ 8.65,"$ 96,769","$ 33,226",27.50%,,"$ 96,769",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 87,596","$ 55,041","$ 32,555",33.64%
Price 1,Kroger Roundy IL,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Roundy IL,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,3.2 cs/store,"1,690 cs",,,$ 1.67,"$ 33,860",$ 12.25,"$ 20,698","$ 13,162",38.87%,,"$ 20,867",$ 8.65,"$ 14,615","$ 6,252",30.20%,,"$ 14,615",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 14,446","$ 8,313","$ 6,133",41.97%
Price 3,Kroger Roundy IL,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.0001 cs/store,0.0528 cs,,,$ 1.50,$ 0.9504,$ 12.00,$ 1,$ 0,33.33%,,$ 0.6494,$ 8.65,$ 0,$ 0.1927,30.42%,,$ 0.4567,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 0,$ 0,$ 0,39.65%
Price 4,Kroger Roundy IL,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,3.3 cs/store,"1,742 cs",,,$ 1.33,"$ 27,809",$ 11.25,"$ 19,602","$ 8,207",29.51%,,"$ 20,735",$ 8.65,"$ 15,072","$ 5,663",28.89%,,"$ 15,072",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 13,939","$ 8,573","$ 5,367",35.61%
Price 5,Kroger Roundy IL,SI Caff 12/16oz Loose,,4/$5,,,16 wks,3.6 cs/store,"2,534 cs",,,$ 1.25,"$ 38,016",$ 10.80,"$ 27,372","$ 10,644",28.00%,,"$ 29,450",$ 8.65,"$ 21,923","$ 7,527",27.50%,,"$ 21,923",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 19,844","$ 12,469","$ 7,375",33.64%
Price 1,Kroger Roundy Wis,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,Kroger Roundy Wis,SI Caff 12/16oz Loose,,3/$5 ($1.67),,,12 wks,3.2 cs/store,"4,493 cs",,,$ 1.67,"$ 90,036",$ 12.25,"$ 55,037","$ 34,999",38.87%,,"$ 55,486",$ 8.65,"$ 38,863","$ 16,623",30.20%,,"$ 38,863",,,,$ 0.50,$ 0.1,$ 0,$ 0.10,"$ 38,413","$ 22,105","$ 16,309",41.97%
Price 3,Kroger Roundy Wis,SI Caff 12/16oz Loose,,2/$3 ($1.50),,,12 wks,0.001 cs/store,1.404 cs,,,$ 1.50,$ 25.27,$ 12.00,$ 17,$ 8,33.33%,,$ 17.27,$ 8.65,$ 12,$ 5.125,30.42%,,$ 12.14,,,,$ 0.75,$ 0.3,$ 0,$ 0.30,$ 12,$ 7,$ 5,39.65%
Price 4,Kroger Roundy Wis,SI Caff 12/16oz Loose,,3/$4 ($1.33),,,12 wks,5 cs/store,"7,020 cs",,,$ 1.33,"$ 112,039",$ 11.25,"$ 78,975","$ 33,064",29.51%,,"$ 83,538",$ 8.65,"$ 60,723","$ 22,815",28.89%,,"$ 60,723",,,,$ 1.50,$ 0.65,$ 0,$ 0.65,"$ 56,160","$ 34,538","$ 21,622",35.61%
Price 5,Kroger Roundy Wis,SI Caff 12/16oz Loose,,4/$5,,,16 wks,6 cs/store,"11,232 cs",,,$ 1.25,"$ 168,480",$ 10.80,"$ 121,306","$ 47,174",28.00%,,"$ 130,516",$ 8.65,"$ 97,157","$ 33,359",27.50%,,"$ 97,157",,,,$ 1.95,$ 0.82,$ 0,$ 0.82,"$ 87,947","$ 55,261","$ 32,685",33.64%
Price 1,Kroger Rulers,SI Caff 12/16oz Loose,,FRONTLINE,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 12.75,$ 0,$ 0,0%,,$ 0,$ 8.65,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
