Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 2,Cosentinos -Price Chopper,SI 12/17oz Loose,,$1.50,,,40 wks,21.91 cs/store,"27,168 cs",,,$ 1.50,"$ 489,031",$ 12.60,"$ 342,322","$ 146,709",30.00%,,"$ 345,582",$ 9.00,"$ 244,516","$ 101,066",29.52%,,"$ 244,516",,,,$ 0.24,$ 0.12,$ 0,$ 0.12,"$ 241,255","$ 124,703","$ 116,552",47.67%
Price 3,Cosentinos -Price Chopper,SI 12/17oz Loose,,$1.00,,,12 wks,29.21 cs/store,"10,866 cs",,,$ 1.00,"$ 130,393",$ 9.24,"$ 100,403","$ 29,990",23.00%,,"$ 124,852",$ 9.00,"$ 97,795","$ 27,057",26.95%,,"$ 97,795",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 73,346","$ 49,875","$ 23,471",24.00%
Price 1,Cost Less Foods,SI 12/17oz Loose,,$1.59,,,24 wks,17 cs/store,"3,672 cs",,,$ 1.59,"$ 70,062",$ 12.84,"$ 47,148","$ 22,913",32.70%,,"$ 47,148",$ 9.00,"$ 33,048","$ 14,100",29.91%,,"$ 33,048",,,,$ 0,$ 0,$ 0,$ 0,"$ 33,048","$ 16,854","$ 16,194",49.00%
Price 2,Cost Less Foods,SI 12/17oz Loose,,$1.25,,,16 wks,22 cs/store,"3,168 cs",,,$ 1.25,"$ 47,520",$ 10.20,"$ 32,314","$ 15,206",32.00%,,"$ 37,224",$ 9.00,"$ 28,512","$ 8,712",26.96%,,"$ 28,512",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 23,602","$ 14,541","$ 9,060",31.78%
Price 3,Cost Less Foods,SI 12/17oz Loose,,$1.00,,,12 wks,30 cs/store,"3,240 cs",,,$ 1.00,"$ 38,880",$ 9.24,"$ 29,938","$ 8,942",23.00%,,"$ 37,228",$ 9.00,"$ 29,160","$ 8,068",26.95%,,"$ 29,160",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 21,870","$ 14,872","$ 6,998",24.00%
Price 1,Country Fair,SI 12/17oz Loose,,$1.99,,28 wks,,0 cs/store,0 cs,,,$ 1.99,$ 0,$ 12.00,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 0.84,$ 0.6,$ 0,$ 0.60,$ 0,$ 0,$ 0,0%
Price 2,Country Fair,SI 12/17oz Loose,,$1.67,,16 wks,,0 cs/store,0 cs,,,$ 1.67,$ 0,$ 11.28,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 1.56,$ 1.2,$ 0,$ 1.20,$ 0,$ 0,$ 0,0%
Price 3,Country Fair,SI 12/17oz Loose,,$1.50,,8 wks,,0 cs/store,0 cs,,,$ 1.50,$ 0,$ 10.08,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 2.76,$ 1.68,$ 0,$ 1.68,$ 0,$ 0,$ 0,0%
Price 1,Crest Food,SI 12/17oz Loose,,$1.59,,,20 wks,50 cs/store,"10,000 cs",,,$ 1.59,"$ 190,800",$ 12.84,"$ 128,400","$ 62,400",32.70%,,"$ 128,400",$ 9.00,"$ 90,000","$ 38,400",29.91%,,"$ 90,000",,,,$ 0,$ 0,$ 0,$ 0,"$ 90,000","$ 45,900","$ 44,100",49.00%
Price 2,Crest Food,SI 12/17oz Loose,,$1.25,,,20 wks,55 cs/store,"11,000 cs",,,$ 1.25,"$ 165,000",$ 10.20,"$ 112,200","$ 52,800",32.00%,,"$ 129,250",$ 9.00,"$ 99,000","$ 30,250",26.96%,,"$ 99,000",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 81,950","$ 50,490","$ 31,460",31.78%
